nome_ingles,grupo_muscular,gif_url
Spider Plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/05/Spider-Plank.gif
Stability Ball Knee Tuck,Abs,https://fitnessprogramer.com/wp-content/uploads/2021/06/Stability-Ball-Knee-Tuck.gif
Medicine Ball Rotational Throw,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/12/Medicine-Ball-Rotational-Throw.gif
High Plank,Abs,https://fitnessprogramer.com/wp-content/uploads/2023/07/High-Plank.gif
Barbell Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Shrug.gif
Dumbbell Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Shrug.gif
Cable Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Shrug.gif
Dumbbell Incline Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Incline-Shrug.gif
Prone Incline Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Decline-Shrug.gif
Lever Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Shrug.gif
Lever Gripless Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lever-Gripless-Shrug.gif
Overhead Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2022/07/overhead-shrug.gif
Behind The Back Barbell Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2023/03/Behind-The-Back-Barbell-Shrug-Reverse-Barbell-Shrug.gif
Smith Machine Shrug,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/10/smith-machine-shrug.gif
Face Pull,Trapezius,https://fitnessprogramer.com/wp-content/uploads/2021/02/Face-Pull.gif
